filename,score,size,quality
10568-103447.pdf,0.80432701,18619,7
10568-103447.pdf,-45.69212323,8741,1
10568-103447.pdf,-5.48456117,14159,5
10568-103447.pdf,-19.05742689,12179,4
10568-103447.pdf,-45.67216207,8762,2
10568-103447.pdf,18.64225648,22351,9
10568-103447.pdf,14.75688587,24183,10
10568-103447.pdf,-39.82543953,9886,3
10568-103447.pdf,-3.55664732,16476,6
10568-103447.pdf,10.46537359,20483,8
10568-103447.pdf,23.78826364,27439,12
10568-103447.pdf,17.72411510,25798,11
10568-103447.pdf,24.97459447,29401,13
10568-103447.pdf,26.62288521,30981,14
10568-103447.pdf,31.94644016,32616,15
10568-103447.pdf,36.65840223,34219,16
10568-103447.pdf,34.68750696,37302,18
10568-103447.pdf,38.72471671,38654,19
10568-103447.pdf,43.28776418,40025,20
10568-103447.pdf,33.33113396,35819,17
10568-103447.pdf,41.97968526,43897,23
10568-103447.pdf,43.72665397,42636,22
10568-103447.pdf,39.43476286,41439,21
10568-103447.pdf,43.14523651,45173,24
10568-103447.pdf,44.46393859,46334,25
10568-103447.pdf,46.52816919,48716,27
10568-103447.pdf,45.63906427,47559,26
10568-103447.pdf,50.59753713,49915,28
10568-103447.pdf,48.91470982,52083,30
10568-103447.pdf,51.44286748,50897,29
10568-103447.pdf,49.73135696,53065,31
10568-103447.pdf,54.26734123,55180,33
10568-103447.pdf,50.32328332,54061,32
10568-103447.pdf,54.77581654,55974,34
10568-103447.pdf,53.14632941,58228,36
10568-103447.pdf,52.35394087,57121,35
10568-103447.pdf,55.67196420,61504,40
10568-103447.pdf,53.61430456,58947,37
10568-103447.pdf,55.22846752,60997,39
10568-103447.pdf,57.53421980,60163,38
10568-103447.pdf,59.69871341,63396,42
10568-103447.pdf,59.38027809,62803,41
10568-103447.pdf,60.20584629,64157,43
10568-103447.pdf,60.72515819,65228,44
10568-103447.pdf,60.92393973,65856,45
10568-103447.pdf,58.47205372,66978,46
10568-103447.pdf,58.95479710,67552,47
10568-103447.pdf,59.37411131,68307,48
10568-103447.pdf,60.25322334,69858,50
10568-103447.pdf,60.05112831,69467,49
10568-103447.pdf,62.31995420,73748,55
10568-103447.pdf,60.83730521,71309,52
10568-103447.pdf,60.58824646,70259,51
10568-103447.pdf,61.30973452,72241,53
10568-103447.pdf,62.68447428,74702,56
10568-103447.pdf,61.68360378,72954,54
10568-103447.pdf,63.06869099,76926,58
10568-103447.pdf,63.08194977,75891,57
10568-103447.pdf,63.78489782,77796,59
10568-103447.pdf,64.13370400,78590,60
10568-103447.pdf,66.31007062,83033,64
10568-103447.pdf,65.03888969,79960,61
10568-103447.pdf,65.43419339,80776,62
10568-103447.pdf,65.85241622,82131,63
10568-103447.pdf,66.67197698,84413,65
10568-103447.pdf,67.33624521,85486,66
10568-103447.pdf,68.43945095,88254,68
10568-103447.pdf,67.87116168,86711,67
10568-103447.pdf,68.87581346,89591,69
10568-103447.pdf,69.59412905,91301,70
10568-103447.pdf,70.84858681,93995,72
10568-103447.pdf,70.33335808,92744,71
10568-103447.pdf,72.72894143,98956,75
10568-103447.pdf,71.49495819,95755,73
10568-103447.pdf,72.27378705,98052,74
10568-103447.pdf,73.79740452,100896,76
10568-103447.pdf,76.00975636,107353,79
10568-103447.pdf,75.40853473,105694,78
10568-103447.pdf,74.61363759,103409,77
10568-103447.pdf,76.72355898,109702,80
10568-103447.pdf,77.70386300,112483,81
10568-103447.pdf,78.34687372,114849,82
10568-103447.pdf,79.23155967,118077,83
10568-103447.pdf,79.97952877,120855,84
10568-103447.pdf,80.80953928,123382,85
10568-103447.pdf,81.63963630,127558,86
10568-103447.pdf,82.35603594,130328,87
10568-103447.pdf,83.77934124,138354,89
10568-103447.pdf,83.04804421,134733,88
10568-103447.pdf,86.94418855,156091,90
10568-103447.pdf,88.80735839,167776,92
10568-103447.pdf,87.92656892,162011,91
10568-103447.pdf,90.33504764,187458,94
10568-103447.pdf,89.59488444,176709,93
10568-103447.pdf,91.21126928,199276,95
10568-103447.pdf,92.14314148,215375,96
10568-103447.pdf,93.41727412,252747,98
10568-103447.pdf,93.86599703,293809,99
10568-103447.pdf,92.84518928,232567,97
10568-103447.pdf,94.04080939,340206,100
10568-3149.pdf,-43.10421300,10381,1
10568-3149.pdf,-43.08072064,10395,2
10568-3149.pdf,-37.27371817,11612,3
10568-3149.pdf,-24.69710371,13824,4
10568-3149.pdf,-8.39114911,16023,5
10568-3149.pdf,15.57686410,22755,8
10568-3149.pdf,-0.87555992,18425,6
10568-3149.pdf,7.53616801,20688,7
10568-3149.pdf,20.70768974,24879,9
10568-3149.pdf,20.78689366,26856,10
10568-3149.pdf,24.51941192,28679,11
10568-3149.pdf,27.97945934,30550,12
10568-3149.pdf,30.24853203,32563,13
10568-3149.pdf,32.37346208,34429,14
10568-3149.pdf,37.13642805,36308,15
10568-3149.pdf,39.60125415,38138,16
10568-3149.pdf,38.56314799,39928,17
10568-3149.pdf,39.96240056,41691,18
10568-3149.pdf,43.07265231,43221,19
10568-3149.pdf,45.96200543,44677,20
10568-3149.pdf,43.71948628,46335,21
10568-3149.pdf,46.10845828,47843,22
10568-3149.pdf,45.51343113,49248,23
10568-3149.pdf,47.90344024,52044,25
10568-3149.pdf,46.75931811,50734,24
10568-3149.pdf,49.39747709,54749,27
10568-3149.pdf,48.74405208,53446,26
10568-3149.pdf,52.58585607,56182,28
10568-3149.pdf,53.49550311,57351,29
10568-3149.pdf,52.13761686,58690,30
10568-3149.pdf,52.46855150,59810,31
10568-3149.pdf,53.33837498,61044,32
10568-3149.pdf,56.15534612,62413,33
10568-3149.pdf,55.19680575,64677,35
10568-3149.pdf,56.61424774,63332,34
10568-3149.pdf,55.61163269,65950,36
10568-3149.pdf,56.00639671,66815,37
10568-3149.pdf,56.98734077,68962,39
10568-3149.pdf,58.52612193,67979,38
10568-3149.pdf,57.44145255,69681,40
10568-3149.pdf,60.13772925,71049,41
10568-3149.pdf,60.22067460,71724,42
10568-3149.pdf,60.81505978,72730,43
10568-3149.pdf,61.72013344,73930,44
10568-3149.pdf,62.12511076,74594,45
10568-3149.pdf,60.53489014,75843,46
10568-3149.pdf,60.89703925,76446,47
10568-3149.pdf,61.17320502,77318,48
10568-3149.pdf,61.79669437,78587,49
10568-3149.pdf,62.06827861,79069,50
10568-3149.pdf,62.25118432,79607,51
10568-3149.pdf,62.04835526,80766,52
10568-3149.pdf,62.39427180,81740,53
10568-3149.pdf,62.60469022,82575,54
10568-3149.pdf,62.25854398,83501,55
10568-3149.pdf,62.53757383,84592,56
10568-3149.pdf,62.95341330,85812,57
10568-3149.pdf,63.03607460,87981,59
10568-3149.pdf,62.68974173,86952,58
10568-3149.pdf,63.49794682,88851,60
10568-3149.pdf,64.65412661,90336,61
10568-3149.pdf,64.96815582,91274,62
10568-3149.pdf,65.36784719,92648,63
10568-3149.pdf,67.16980575,93656,64
10568-3149.pdf,67.78156842,95264,65
10568-3149.pdf,68.00480390,96491,66
10568-3149.pdf,68.99779717,97812,67
10568-3149.pdf,69.77143562,99559,68
10568-3149.pdf,70.22841203,100983,69
10568-3149.pdf,70.59299185,102888,70
10568-3149.pdf,71.10644746,104407,71
10568-3149.pdf,72.13070212,107549,73
10568-3149.pdf,71.58207547,105834,72
10568-3149.pdf,72.70221597,109987,74
10568-3149.pdf,73.23694860,110952,75
10568-3149.pdf,73.91363944,112932,76
10568-3149.pdf,74.67426955,115527,77
10568-3149.pdf,75.70409710,117978,78
10568-3149.pdf,76.09101561,119845,79
10568-3149.pdf,76.65695274,122200,80
10568-3149.pdf,77.24015915,125265,81
10568-3149.pdf,77.99885714,127803,82
10568-3149.pdf,78.96624068,130923,83
10568-3149.pdf,79.65945913,133723,84
10568-3149.pdf,80.46491825,136286,85
10568-3149.pdf,80.96808767,140494,86
10568-3149.pdf,81.41284252,143540,87
10568-3149.pdf,82.14527513,148381,88
10568-3149.pdf,82.72240035,152065,89
10568-3149.pdf,86.95973877,167179,90
10568-3149.pdf,88.79443035,178210,92
10568-3149.pdf,87.92145776,172523,91
10568-3149.pdf,89.67884435,186967,93
10568-3149.pdf,90.43231235,197408,94
10568-3149.pdf,91.37326470,209325,95
10568-3149.pdf,92.05019636,224027,96
10568-3149.pdf,92.86401268,241090,97
10568-3149.pdf,93.42192344,260324,98
10568-3149.pdf,93.91499081,294451,99
10568-3149.pdf,93.91812366,321360,100
10568-51999.pdf,-53.92670135,6306,1
10568-51999.pdf,-44.99632014,7073,3
10568-51999.pdf,-53.92080773,6315,2
10568-51999.pdf,-28.58081207,8611,4
10568-51999.pdf,-15.59089391,10675,5
10568-51999.pdf,-7.85313746,12839,6
10568-51999.pdf,0.76354298,14671,7
10568-51999.pdf,9.90452534,16353,8
10568-51999.pdf,17.51751715,18097,9
10568-51999.pdf,16.06004115,19986,10
10568-51999.pdf,20.11487052,21808,11
10568-51999.pdf,26.42472765,23466,12
10568-51999.pdf,27.77689376,25280,13
10568-51999.pdf,29.71778543,26768,14
10568-51999.pdf,39.31787171,29857,16
10568-51999.pdf,35.27202652,28347,15
10568-51999.pdf,36.92860824,31352,17
10568-51999.pdf,38.18261479,32733,18
10568-51999.pdf,42.10151853,33947,19
10568-51999.pdf,45.64029157,35143,20
10568-51999.pdf,41.76720825,36640,21
10568-51999.pdf,45.65782791,37868,22
10568-51999.pdf,43.47731471,39215,23
10568-51999.pdf,45.86252554,41601,25
10568-51999.pdf,45.13214321,40456,24
10568-51999.pdf,46.19709081,42804,26
10568-51999.pdf,47.50526497,43940,27
10568-51999.pdf,50.88474588,45159,28
10568-51999.pdf,51.45831376,46104,29
10568-51999.pdf,49.61464135,47318,30
10568-51999.pdf,50.10959420,48359,31
10568-51999.pdf,50.66111597,49508,32
10568-51999.pdf,54.25728610,50639,33
10568-51999.pdf,52.78981239,52538,35
10568-51999.pdf,55.12987419,51359,34
10568-51999.pdf,53.32859900,53656,36
10568-51999.pdf,53.62280396,54283,37
10568-51999.pdf,57.15481646,55437,38
10568-51999.pdf,54.75885193,56293,39
10568-51999.pdf,55.19236996,56808,40
10568-51999.pdf,58.69533884,58140,41
10568-51999.pdf,59.15001383,59566,43
10568-51999.pdf,58.85441507,58729,42
10568-51999.pdf,60.17116796,61389,45
10568-51999.pdf,59.91600954,60708,44
10568-51999.pdf,57.72760583,62535,46
10568-51999.pdf,58.10442116,63143,47
10568-51999.pdf,58.34083012,63933,48
10568-51999.pdf,59.59720971,65642,50
10568-51999.pdf,59.38351672,65193,49
10568-51999.pdf,59.86230718,66095,51
10568-51999.pdf,59.74941808,67225,52
10568-51999.pdf,60.08951858,68246,53
10568-51999.pdf,60.48637196,68940,54
10568-51999.pdf,61.02758687,69878,55
10568-51999.pdf,61.30946216,70935,56
10568-51999.pdf,61.60265526,72086,57
10568-51999.pdf,61.87694096,73100,58
10568-51999.pdf,62.23238006,73972,59
10568-51999.pdf,62.75545741,74857,60
10568-51999.pdf,63.28479247,76175,61
10568-51999.pdf,64.13967284,78580,63
10568-51999.pdf,63.67395454,77171,62
10568-51999.pdf,65.03363339,80929,65
10568-51999.pdf,64.52211082,79502,64
10568-51999.pdf,65.54472132,82093,66
10568-51999.pdf,65.86512273,83414,67
10568-51999.pdf,66.33382059,85034,68
10568-51999.pdf,66.77344373,86438,69
10568-51999.pdf,67.37287631,88282,70
10568-51999.pdf,67.84563420,89890,71
10568-51999.pdf,68.41672752,91255,72
10568-51999.pdf,68.89336806,93176,73
10568-51999.pdf,69.38270362,95698,74
10568-51999.pdf,69.84383006,96748,75
10568-51999.pdf,70.68488174,98897,76
10568-51999.pdf,71.30165245,101670,77
10568-51999.pdf,72.10769044,104236,78
10568-51999.pdf,72.71275591,106163,79
